,Time,TemperatureF,DewpointF,PressureIn,WindDirection,WindDirectionDegrees,WindSpeedMPH,WindSpeedGustMPH,Humidity,HourlyPrecipIn,Conditions,Clouds,dailyrainin,SolarRadiationWatts/m^2,SoftwareType,DateUTC,station
0,2018-11-04 00:04:39,34.2,20.8,30.17,West,270,0.0,0.0,58,0.0,,,0.0,0.0,AMBWeatherV3.0.3,2018-11-04 07:04:39,KAZFLAGS163
1,2018-11-04 00:09:38,33.8,18.9,30.18,West,270,0.0,0.0,54,0.0,,,0.0,0.0,AMBWeatherV3.0.3,2018-11-04 07:09:38,KAZFLAGS163
2,2018-11-04 00:14:40,33.6,19.2,30.18,West,270,0.0,0.0,55,0.0,,,0.0,0.0,AMBWeatherV3.0.3,2018-11-04 07:14:40,KAZFLAGS163
3,2018-11-04 00:19:35,33.6,19.6,30.18,West,270,0.0,0.0,56,0.0,,,0.0,0.0,AMBWeatherV3.0.3,2018-11-04 07:19:35,KAZFLAGS163
4,2018-11-04 00:24:39,33.8,17.6,30.18,West,270,0.0,0.0,51,0.0,,,0.0,0.0,AMBWeatherV3.0.3,2018-11-04 07:24:39,KAZFLAGS163
5,2018-11-04 00:29:38,34.2,18.9,30.19,West,270,0.0,0.0,53,0.0,,,0.0,0.0,AMBWeatherV3.0.3,2018-11-04 07:29:38,KAZFLAGS163
6,2018-11-04 00:34:31,34.0,19.0,30.18,West,270,0.0,0.0,54,0.0,,,0.0,0.0,AMBWeatherV3.0.3,2018-11-04 07:34:31,KAZFLAGS163
7,2018-11-04 00:39:50,34.5,19.2,30.17,West,270,0.0,0.0,53,0.0,,,0.0,0.0,AMBWeatherV3.0.3,2018-11-04 07:39:50,KAZFLAGS163
8,2018-11-04 00:44:00,34.7,19.8,30.18,West,270,0.0,0.0,54,0.0,,,0.0,0.0,AMBWeatherV3.0.3,2018-11-04 07:44:00,KAZFLAGS163
9,2018-11-04 00:49:53,34.3,19.8,30.17,West,270,0.0,0.0,55,0.0,,,0.0,0.0,AMBWeatherV3.0.3,2018-11-04 07:49:53,KAZFLAGS163
10,2018-11-04 00:54:31,34.3,19.4,30.17,West,270,0.0,0.0,54,0.0,,,0.0,0.0,AMBWeatherV3.0.3,2018-11-04 07:54:31,KAZFLAGS163
11,2018-11-04 00:59:50,34.2,19.6,30.17,West,270,0.0,0.0,55,0.0,,,0.0,0.0,AMBWeatherV3.0.3,2018-11-04 07:59:50,KAZFLAGS163
12,2018-11-04 01:04:39,33.8,19.4,30.17,West,270,0.0,0.0,55,0.0,,,0.0,0.0,AMBWeatherV3.0.3,2018-11-04 08:04:39,KAZFLAGS163
13,2018-11-04 01:09:31,33.8,19.8,30.17,West,270,0.0,0.0,56,0.0,,,0.0,0.0,AMBWeatherV3.0.3,2018-11-04 08:09:31,KAZFLAGS163
